    6   36                                                                      
        0.9821663408        0.0000000000        0.0000000000                    
       -0.6513064282        0.0000000000        0.0000000000                    
       -0.1517832806       -0.1427930308        0.0000000000                    
       -0.0136466735       -0.0075690845        0.0000000000                    
       -0.1517832806        0.1427930308        0.0000000000                    
       -0.0136466735        0.0075690845        0.0000000000                    
        0.0000000000        0.7240552079        0.0000000000                    
        0.0000000000       -0.1338751544        0.0000000000                    
       -0.1345779857       -0.2999592344        0.0000000000                    
        0.0362200654        0.0048692098        0.0000000000                    
        0.1345779857       -0.2999592344        0.0000000000                    
       -0.0362200654        0.0048692098        0.0000000000                    
        0.0000000000        0.0000000000        0.1485615133                    
        0.0000000000        0.0000000000       -0.0678436772                    
        0.0000000000        0.0000000000       -0.0494379183                    
        0.0000000000        0.0000000000        0.0090790024                    
        0.0000000000        0.0000000000       -0.0494379183                    
        0.0000000000        0.0000000000        0.0090790024                    
       -0.6513064282        0.0000000000        0.0000000000                    
        0.9821663408        0.0000000000        0.0000000000                    
       -0.0136466735        0.0075690845        0.0000000000                    
       -0.1517832806        0.1427930308        0.0000000000                    
       -0.0136466735       -0.0075690845        0.0000000000                    
       -0.1517832806       -0.1427930308        0.0000000000                    
        0.0000000000       -0.1338751544        0.0000000000                    
        0.0000000000        0.7240552079        0.0000000000                    
       -0.0362200654        0.0048692098        0.0000000000                    
        0.1345779857       -0.2999592344        0.0000000000                    
        0.0362200654        0.0048692098        0.0000000000                    
       -0.1345779857       -0.2999592344        0.0000000000                    
        0.0000000000        0.0000000000       -0.0678436772                    
        0.0000000000        0.0000000000        0.1485615133                    
        0.0000000000        0.0000000000        0.0090790024                    
        0.0000000000        0.0000000000       -0.0494379183                    
        0.0000000000        0.0000000000        0.0090790024                    
        0.0000000000        0.0000000000       -0.0494379183                    
       -0.1517832806       -0.1345779857        0.0000000000                    
       -0.0136466735       -0.0362200654        0.0000000000                    
        0.1582340192        0.1518406399        0.0000000000                    
        0.0015954629        0.0005240701        0.0000000000                    
        0.0107699715        0.0172629823        0.0000000000                    
       -0.0051694994        0.0011703588        0.0000000000                    
       -0.1427930308       -0.2999592344        0.0000000000                    
        0.0075690845        0.0048692098        0.0000000000                    
        0.1518406399        0.3096706878        0.0000000000                    
       -0.0005240701        0.0018238681        0.0000000000                    
       -0.0172629823       -0.0177101540        0.0000000000                    
        0.0011703588        0.0013056226        0.0000000000                    
        0.0000000000        0.0000000000       -0.0494379183                    
        0.0000000000        0.0000000000        0.0090790024                    
        0.0000000000        0.0000000000        0.0304044617                    
        0.0000000000        0.0000000000       -0.0102250039                    
        0.0000000000        0.0000000000        0.0055982307                    
        0.0000000000        0.0000000000        0.0145812272                    
       -0.0136466735        0.0362200654        0.0000000000                    
       -0.1517832806        0.1345779857        0.0000000000                    
        0.0015954629       -0.0005240701        0.0000000000                    
        0.1582340192       -0.1518406399        0.0000000000                    
       -0.0051694994       -0.0011703588        0.0000000000                    
        0.0107699715       -0.0172629823        0.0000000000                    
       -0.0075690845        0.0048692098        0.0000000000                    
        0.1427930308       -0.2999592344        0.0000000000                    
        0.0005240701        0.0018238681        0.0000000000                    
       -0.1518406399        0.3096706878        0.0000000000                    
       -0.0011703588        0.0013056226        0.0000000000                    
        0.0172629823       -0.0177101540        0.0000000000                    
        0.0000000000        0.0000000000        0.0090790024                    
        0.0000000000        0.0000000000       -0.0494379183                    
        0.0000000000        0.0000000000       -0.0102250039                    
        0.0000000000        0.0000000000        0.0304044617                    
        0.0000000000        0.0000000000        0.0145812272                    
        0.0000000000        0.0000000000        0.0055982307                    
       -0.1517832806        0.1345779857        0.0000000000                    
       -0.0136466735        0.0362200654        0.0000000000                    
        0.0107699715       -0.0172629823        0.0000000000                    
       -0.0051694994       -0.0011703588        0.0000000000                    
        0.1582340192       -0.1518406399        0.0000000000                    
        0.0015954629       -0.0005240701        0.0000000000                    
        0.1427930308       -0.2999592344        0.0000000000                    
       -0.0075690845        0.0048692098        0.0000000000                    
        0.0172629823       -0.0177101540        0.0000000000                    
       -0.0011703588        0.0013056226        0.0000000000                    
       -0.1518406399        0.3096706878        0.0000000000                    
        0.0005240701        0.0018238681        0.0000000000                    
        0.0000000000        0.0000000000       -0.0494379183                    
        0.0000000000        0.0000000000        0.0090790024                    
        0.0000000000        0.0000000000        0.0055982307                    
        0.0000000000        0.0000000000        0.0145812272                    
        0.0000000000        0.0000000000        0.0304044617                    
        0.0000000000        0.0000000000       -0.0102250039                    
       -0.0136466735       -0.0362200654        0.0000000000                    
       -0.1517832806       -0.1345779857        0.0000000000                    
       -0.0051694994        0.0011703588        0.0000000000                    
        0.0107699715        0.0172629823        0.0000000000                    
        0.0015954629        0.0005240701        0.0000000000                    
        0.1582340192        0.1518406399        0.0000000000                    
        0.0075690845        0.0048692098        0.0000000000                    
       -0.1427930308       -0.2999592344        0.0000000000                    
        0.0011703588        0.0013056226        0.0000000000                    
       -0.0172629823       -0.0177101540        0.0000000000                    
       -0.0005240701        0.0018238681        0.0000000000                    
        0.1518406399        0.3096706878        0.0000000000                    
        0.0000000000        0.0000000000        0.0090790024                    
        0.0000000000        0.0000000000       -0.0494379183                    
        0.0000000000        0.0000000000        0.0145812272                    
        0.0000000000        0.0000000000        0.0055982307                    
        0.0000000000        0.0000000000       -0.0102250039                    
        0.0000000000        0.0000000000        0.0304044617                    
